log_name,reward,rebuffer_time,switches_amplitude
norway_tram_11,20.511471,1.683379,2700.000000
norway_tram_10,28.029718,1.190763,2700.000000
norway_tram_13,32.548556,1.291033,1800.000000
norway_tram_12,30.005088,1.359282,1800.000000
norway_tram_15,9.207389,2.428514,2700.000000
norway_tram_14,24.383207,1.620184,3600.000000
norway_tram_17,19.968828,2.856087,900.000000
norway_tram_16,24.163303,2.089930,1800.000000
norway_tram_19,41.272608,0.820324,3100.000000
norway_tram_18,29.019375,2.216425,1800.000000
norway_ferry_7,59.732248,1.062268,3100.000000
norway_train_21,57.794053,1.152546,3100.000000
norway_train_20,44.208739,1.765409,3100.000000
norway_tram_9,22.653387,1.499212,1800.000000
norway_tram_8,16.792047,1.397198,2700.000000
norway_tram_1,12.190534,4.560341,900.000000
norway_tram_3,11.460314,3.055741,2700.000000
norway_tram_2,21.660221,1.520879,900.000000
norway_tram_5,23.827333,1.121550,1800.000000
norway_tram_4,1.105134,3.998806,3600.000000
norway_tram_7,23.493704,2.454953,1800.000000
norway_tram_6,22.790767,2.723077,1800.000000
norway_bus_8,70.996772,0.663541,5100.000000
norway_bus_9,70.225952,0.412569,5100.000000
norway_ferry_20,26.393210,1.885300,1800.000000
norway_bus_1,91.501105,0.360208,5100.000000
norway_bus_2,65.184458,0.747801,3100.000000
norway_bus_3,60.041960,0.687916,3100.000000
norway_bus_4,64.029660,1.062870,5100.000000
norway_bus_5,40.821154,0.727639,1800.000000
norway_bus_6,54.844301,0.919930,3100.000000
norway_bus_7,88.470791,0.704467,5100.000000
norway_car_12,56.934298,0.654814,3100.000000
norway_car_10,52.639779,0.548889,3100.000000
norway_car_11,33.311282,1.009004,2700.000000
norway_tram_28,14.750588,2.185910,1800.000000
norway_tram_29,10.938077,2.758587,2700.000000
norway_tram_24,26.075981,2.691632,1800.000000
norway_tram_25,30.516356,2.077592,2700.000000
norway_tram_26,9.946148,3.512524,2700.000000
norway_tram_27,25.795764,1.605636,900.000000
norway_tram_20,31.899316,1.860624,1800.000000
norway_tram_21,22.697455,1.907569,2700.000000
norway_tram_22,10.617454,3.461057,2700.000000
norway_tram_23,27.968592,2.356141,1800.000000
norway_tram_48,18.464699,2.054721,1800.000000
norway_tram_49,38.288456,1.002685,2700.000000
norway_tram_46,24.347892,1.314444,1800.000000
norway_tram_47,25.876606,2.110092,1800.000000
norway_tram_44,35.883483,0.934074,2700.000000
norway_tram_45,17.128529,2.888714,1800.000000
norway_tram_42,30.901207,1.360185,2700.000000
norway_tram_43,45.712998,1.159768,3100.000000
norway_tram_40,14.323339,5.215503,1800.000000
norway_tram_41,28.119792,1.902374,1800.000000
norway_train_8,25.240128,1.316249,2700.000000
norway_train_9,35.557731,1.637737,1800.000000
norway_train_2,20.143033,2.815574,1800.000000
norway_train_3,30.369119,1.425786,3100.000000
norway_train_1,25.913835,4.299108,1800.000000
norway_train_6,34.704434,1.731527,1800.000000
norway_train_7,34.046641,1.151944,2700.000000
norway_train_4,42.570893,0.669560,4000.000000
norway_train_5,44.880416,1.771996,3100.000000
norway_tram_39,33.319424,1.321064,1800.000000
norway_tram_38,23.654248,1.475756,1800.000000
norway_tram_33,32.981084,1.609050,2700.000000
norway_tram_32,30.968872,1.658402,1800.000000
norway_tram_31,32.383498,1.224768,1800.000000
norway_tram_30,21.824510,2.215230,900.000000
norway_tram_37,33.329227,1.318784,1800.000000
norway_tram_36,29.616284,1.659004,2700.000000
norway_tram_35,17.944897,1.443047,1800.000000
norway_tram_34,26.865508,1.252208,2700.000000
norway_ferry_4,24.060789,1.171910,2700.000000
norway_ferry_5,41.364074,0.938588,3100.000000
norway_tram_55,50.402748,1.127268,3100.000000
norway_tram_54,7.759934,6.404667,3100.000000
norway_tram_56,42.190026,1.351157,1800.000000
norway_tram_51,27.640840,1.071898,2700.000000
norway_tram_50,35.270282,1.913888,1800.000000
norway_tram_53,15.546481,1.058958,2700.000000
norway_tram_52,10.850687,5.499840,2700.000000
norway_bus_12,30.934593,1.875676,1800.000000
norway_bus_13,-4.691529,7.753844,2700.000000
norway_bus_10,62.919439,0.576875,3100.000000
norway_bus_11,59.195842,0.687014,3100.000000
norway_bus_16,98.049084,0.314167,8000.000000
norway_bus_17,70.353853,0.452592,5100.000000
norway_bus_14,25.743239,1.431805,4000.000000
norway_bus_15,98.047790,0.314467,8000.000000
norway_bus_18,60.432713,1.050532,3100.000000
norway_bus_19,58.598146,0.977175,3100.000000
norway_train_15,56.144969,0.838379,3100.000000
norway_ferry_2,50.255060,0.963940,3100.000000
norway_ferry_3,54.949782,0.814004,3100.000000
norway_metro_7,37.268261,1.867846,1800.000000
norway_metro_6,19.212330,1.880853,1800.000000
norway_metro_5,47.623553,1.087546,3100.000000
norway_metro_4,43.776446,0.982222,1800.000000
norway_metro_3,27.122477,2.343610,1800.000000
norway_metro_2,59.455525,0.766157,3100.000000
norway_metro_1,51.905423,0.801064,3100.000000
norway_metro_9,31.769773,1.053541,1800.000000
norway_metro_8,26.320980,1.378842,1800.000000
norway_bus_23,43.999389,1.244328,3100.000000
norway_bus_22,57.763710,0.915416,3100.000000
norway_bus_21,62.776955,0.807685,3100.000000
norway_bus_20,55.162896,1.194675,3100.000000
norway_ferry_18,30.698590,0.779398,3600.000000
norway_ferry_19,18.181820,4.946088,2700.000000
norway_ferry_16,88.587860,0.467940,5100.000000
norway_ferry_17,39.319759,0.762847,2700.000000
norway_ferry_14,73.931652,0.527523,5100.000000
norway_ferry_15,65.952937,0.766759,5100.000000
norway_ferry_12,61.185388,0.724328,3100.000000
norway_ferry_13,46.350406,1.011533,4000.000000
norway_ferry_10,49.225778,1.063773,3100.000000
norway_ferry_11,31.872753,1.657499,2700.000000
norway_train_10,65.894126,0.536250,3100.000000
norway_train_11,55.722855,0.587708,3100.000000
norway_train_12,43.190884,0.909097,1800.000000
norway_train_13,46.006179,1.428796,3100.000000
norway_train_14,55.294533,1.431504,3100.000000
norway_ferry_1,66.210846,0.567245,3100.000000
norway_train_16,63.584399,0.619907,3100.000000
norway_train_17,57.136159,0.607870,4400.000000
norway_train_18,66.294955,0.547685,3100.000000
norway_train_19,49.786435,0.956643,3100.000000
norway_ferry_8,45.918363,0.798055,1800.000000
norway_ferry_9,33.575327,1.366203,1800.000000
norway_metro_10,33.932088,0.969282,2700.000000
norway_car_8,62.229485,0.679189,3100.000000
norway_car_9,61.018741,1.111921,3100.000000
norway_car_1,67.620529,0.646389,5100.000000
norway_car_2,41.958723,1.590995,3100.000000
norway_car_3,59.819977,0.983726,3100.000000
norway_car_4,58.037191,0.549490,3100.000000
norway_car_5,39.616531,1.426388,1800.000000
norway_car_6,57.420238,1.041805,3100.000000
norway_car_7,29.139648,1.037291,3600.000000
norway_ferry_6,62.973655,1.052638,5100.000000
